setting_id,overload_curvature,catastrophic_risk_weight,verification_saturation,observation_noise,regime_threshold_name,regime_low_threshold,regime_overload_threshold,delta_catastrophic_risk,delta_catastrophic_risk_std,delta_accuracy,matched_compute_budget,region_class
scan_01,0.9,0.8,0.8,0.8,late_overload,0.45,0.78,-0.262357,0.046535,-0.162626,True,monotone_stronger
scan_02,0.9,0.8,0.8,1.2,early_overload,0.35,0.66,-0.188013,0.055952,-0.123569,True,monotone_stronger
scan_03,0.9,0.8,1.2,0.8,default,0.4,0.72,-0.206061,0.063092,-0.129966,True,monotone_stronger
scan_04,0.9,0.8,1.2,1.2,early_overload,0.35,0.66,-0.168889,0.061014,-0.110774,True,monotone_stronger
scan_05,0.9,1.2,0.8,0.8,default,0.4,0.72,-0.334949,0.094672,-0.142761,True,monotone_stronger
scan_06,0.9,1.2,0.8,1.2,late_overload,0.45,0.78,-0.387071,0.08828,-0.161953,True,monotone_stronger
scan_07,0.9,1.2,1.2,0.8,default,0.4,0.72,-0.309091,0.094639,-0.129966,True,monotone_stronger
scan_08,0.9,1.2,1.2,1.2,early_overload,0.35,0.66,-0.253333,0.091521,-0.110774,True,monotone_stronger
scan_09,1.3,0.8,0.8,0.8,default,0.4,0.72,-0.266667,0.071423,-0.170034,True,monotone_stronger
scan_10,1.3,0.8,0.8,1.2,early_overload,0.35,0.66,-0.23569,0.059559,-0.152862,True,monotone_stronger
scan_11,1.3,0.8,1.2,0.8,late_overload,0.45,0.78,-0.281481,0.058809,-0.178788,True,monotone_stronger
scan_12,1.3,0.8,1.2,1.2,early_overload,0.35,0.66,-0.216566,0.06519,-0.140067,True,monotone_stronger
scan_13,1.3,1.2,0.8,0.8,default,0.4,0.72,-0.4,0.107134,-0.170034,True,monotone_stronger
scan_14,1.3,1.2,0.8,1.2,early_overload,0.35,0.66,-0.353535,0.089339,-0.152862,True,monotone_stronger
scan_15,1.3,1.2,1.2,0.8,default,0.4,0.72,-0.374141,0.107013,-0.157239,True,monotone_stronger
scan_16,1.3,1.2,1.2,1.2,late_overload,0.45,0.78,-0.41899,0.100849,-0.179125,True,monotone_stronger
